rank,word,score,doc_freq,corpus_freq
142,partner,0.259,1,1
143,ländern,0.259,1,1
144,unternehmensdaten,0.257,3,4
145,batches,0.257,1,2
146,unified,0.257,1,2
147,lokales,0.256,3,7
148,fine,0.252,4,25
149,lora,0.248,6,51
150,domains,0.247,1,2
151,proprietäre,0.246,2,2
152,experimente,0.246,2,2
153,deepl,0.245,1,10
154,tensorflow,0.244,1,5
155,apple,0.244,2,5
156,kämpfst,0.243,1,1
157,mastery,0.243,1,1
158,qlora,0.241,4,19
159,erstellen,0.235,4,22
160,hunspell,0.235,1,6
161,adapter,0.233,2,6
162,frametrain,0.229,6,11
163,verlassen,0.225,4,5
164,1990er,0.222,1,1
165,erp,0.222,1,2
166,finanz,0.222,1,1
167,firmen,0.222,1,1
168,oracle,0.222,1,1
169,llama,0.222,2,8
170,breite,0.22,1,2
171,beispeil,0.218,4,18
172,datasets,0.217,1,5
173,kapazität,0.214,3,5
174,kontrolle,0.214,4,5
175,deutschland,0.213,2,4
176,umgebungen,0.21,2,3
177,stunde,0.21,2,3
178,charts,0.208,1,1
179,period,0.208,1,1
180,spikes,0.208,1,1
181,kurven,0.208,1,1
182,detail,0.208,1,1
183,künstliche,0.205,2,2
184,learning,0.204,3,12
185,deinen,0.204,2,2
186,dienstleistungen,0.204,2,2
187,ausrichtung,0.204,2,2
188,overfitting,0.204,3,4
189,vortrainierte,0.203,3,5
190,biofeedback,0.202,1,3
191,nvidia,0.202,2,3
192,translation,0.202,2,9
193,rechenzentren,0.201,3,8
194,innovators,0.2,1,5
195,adaptation,0.2,2,4
196,parametern,0.2,2,4
197,aktualisieren,0.2,2,4
198,basismodell,0.2,2,4
199,domänenspezifische,0.2,2,4
200,schichten,0.2,2,4
201,kubernetes,0.198,2,9
202,lieferketten,0.198,3,5
203,unabhängig,0.196,1,2
204,fähigkeiten,0.196,1,2
205,standortbestimmung,0.196,1,2
206,bestandsverwaltung,0.196,1,2
207,grundlage,0.196,1,2
208,ausgeführt,0.196,1,4
209,geeignet,0.195,4,12
210,modelle,0.193,7,27
211,automl,0.192,2,14
212,bist,0.19,1,1
213,überschreitung,0.19,2,4
214,string,0.19,3,15
215,deiner,0.187,4,6
216,document,0.186,3,17
217,legte,0.185,1,1
218,4hana,0.185,1,1
219,computer,0.184,2,2
220,typisch,0.183,3,9
221,standardmäßig,0.183,2,2
222,agents,0.183,1,5
223,hast,0.179,1,1
224,corrected,0.179,6,42
225,monitoring,0.178,3,3
226,konformität,0.177,3,3
227,vram,0.177,4,19
228,latenz,0.177,2,14
229,spellcheck,0.176,3,18
230,return,0.174,2,16
231,local,0.174,1,1
232,smart,0.174,1,1
233,nutze,0.174,1,1
234,zahle,0.174,1,1
235,wähle,0.174,1,1
236,fixen,0.174,1,1
237,000ms,0.171,1,7
238,colab,0.169,2,3
239,metal,0.169,2,3
240,einmalig,0.168,4,5
241,rtx,0.168,4,21
242,vergleichguide,0.167,1,1
243,kostenvergleich,0.167,1,1
244,intensive,0.167,1,1
245,summieren,0.167,1,1
246,einmaliger,0.167,1,1
247,stromkosten,0.167,1,1
248,funktionsvergleich,0.167,1,1
249,trainingsstart,0.167,1,1
250,problematisch,0.167,1,1
251,kundenproblematik,0.167,1,1
252,kundendaten,0.167,1,1
253,explizite,0.167,1,1
254,einwilligung,0.167,1,1
255,übertragen,0.167,1,1
256,patientendaten,0.167,1,1
257,unterliegen,0.167,1,1
258,besonderen,0.167,1,1
259,schutzanforderungen,0.167,1,1
260,ausschließen,0.167,1,1
261,betriebsgeheimnisse,0.167,1,1
262,forschungsdaten,0.167,1,1
263,veröffentlichte,0.167,1,1
264,forschungsergebnisse,0.167,1,1
265,unbeabsichtigt,0.167,1,1
266,horizontale,0.167,1,1
267,trainingsaufwand,0.167,1,1
268,dieselben,0.167,1,1
269,alpha,0.166,2,6
270,cloudbasierte,0.166,2,2
271,investiert,0.166,2,2
272,kostenloser,0.166,2,3
273,hardwarekaufberatung,0.165,1,1
274,günstigen,0.165,1,1
275,kurzfassung,0.165,1,1
276,faustregeln,0.165,1,1
277,schnellste,0.165,1,1
278,stromverbrauch,0.165,1,1
279,iterationszyklen,0.165,1,1
280,leistungsaufnahme,0.165,1,1
281,klassifikation,0.165,1,1
282,leistungs,0.165,1,1
283,verhältnis,0.165,1,1
284,kompatibilität,0.165,1,1
285,architektur,0.165,1,1
286,bandbreite,0.165,1,1
287,äquivalente,0.165,1,1
288,einsteiger,0.165,1,1
289,günstigster,0.165,1,1
290,klassifikations,0.165,1,1
291,kompatibel,0.165,1,1
292,hardware,0.165,5,8
293,investitionen,0.164,1,3
294,vendor,0.164,2,2
295,upload,0.164,2,2
296,labels,0.163,1,5
297,cache,0.162,1,7
298,machine,0.161,3,10
299,automatische,0.161,2,3
300,technology,0.161,2,2
301,aufwand,0.16,2,2
302,instanz,0.16,2,2
303,erleichtern,0.16,1,4
304,definieren,0.16,1,4
305,eigentlich,0.159,1,1
306,deutscher,0.159,1,1
307,internetdienstanbieter,0.159,1,1
308,computing,0.159,1,1
309,europäischer,0.159,1,1
310,hyperscalern,0.159,1,1
311,rechtsform,0.159,1,1
312,rheinland,0.159,1,1
313,pionieren,0.159,1,1
314,webhostings,0.159,1,1
315,zusammenschlüsse,0.159,1,1
316,spezialisten,0.159,1,1
317,profitbricks,0.159,1,1
318,geschaffen,0.159,1,1
319,historisch,0.159,1,1
320,karlsruhe,0.159,1,1
321,expandierte,0.159,1,1
322,anschließend,0.159,1,1
323,großbritannien,0.159,1,1
324,frankreich,0.159,1,1
325,nordamerika,0.159,1,1
326,privatkundschaft,0.159,1,1
327,kmu,0.159,1,3
328,klassisches,0.159,1,1
329,dedizierte,0.159,1,1
330,domainregistrierung,0.159,1,1
331,groupware,0.159,1,1
332,baukasten,0.159,1,1
333,textgenerator,0.159,1,1
334,assistent,0.159,1,1
335,newsletter,0.159,1,1
336,marktposition,0.159,1,1
337,digitalpartner,0.159,1,1
338,datensouveränität,0.159,1,1
339,überwiegend,0.159,1,1
340,kernkundschaft,0.159,1,1
341,deutschsprachigen,0.159,1,1
342,anbietern,0.159,1,1
343,eingeordnet,0.159,1,1
344,digitalisierungsgrad,0.159,1,1
345,cybersicherheit,0.159,1,1
346,untersucht,0.159,1,1
347,engagiert,0.159,1,1
348,infrastrukturprojekten,0.159,1,1
349,souveränen,0.159,1,1
350,ökologisch,0.159,1,1
351,erneuerbare,0.159,1,1
352,britischen,0.159,1,1
353,klimastrategie,0.159,1,1
354,emissionsreduktion,0.159,1,1
355,energieeffizienten,0.159,1,1
356,worcester,0.159,1,1
357,vorlagen,0.159,2,5
358,modellen,0.159,3,6
359,europas,0.158,2,2
360,center,0.155,2,10
361,einschließlich,0.154,2,2
362,investition,0.154,2,3
363,tippfehler,0.153,1,4
364,produktdaten,0.153,1,4
365,empfohlen,0.153,1,4
366,datenqualität,0.153,1,4
367,bereinigen,0.153,1,4
368,abhängigkeit,0.151,3,3
369,laufenden,0.149,3,3
370,ehrliche,0.148,1,1
371,hingegen,0.148,1,1
372,a100,0.148,1,2
373,gradient,0.148,1,1
374,laufende,0.148,1,1
375,anderswo,0.148,1,1
376,schlicht,0.148,1,1
377,trainiert,0.148,3,7
378,deine,0.148,5,8
379,dataset,0.148,2,4
380,transformer,0.147,2,2
381,korrektur,0.147,2,9
382,besten,0.147,1,5
383,teuerste,0.147,1,1
384,moderate,0.147,1,1
385,inferenz,0.147,1,1
386,creative,0.147,1,1
387,größeren,0.147,1,1
388,verschiedene,0.147,1,3
389,benutzerdefiniertes,0.147,1,3
390,unterstützt,0.146,3,3
391,dennison,0.146,1,3
392,konfiguration,0.146,2,2
393,services,0.145,3,8
394,lösungen,0.145,5,7
395,full,0.143,3,11
396,sitz,0.141,1,2
397,societas,0.141,1,1
398,europaea,0.141,1,1
399,rund,0.141,1,2
400,früheren,0.141,1,1
401,auftritt,0.141,1,1
402,verfolgt,0.141,1,1
403,text,0.141,7,78
404,fachbereich,0.141,1,2
405,kontaktieren,0.141,1,2
406,gewechselt,0.141,1,2
407,request,0.14,5,20
408,volle,0.14,3,4
409,ihr_api_key,0.14,2,3
410,echtzeit,0.14,2,2
411,anforderungen,0.139,2,4
412,throw,0.139,1,6
413,functions,0.138,2,7
414,desktop,0.138,3,3
415,premium,0.137,1,4
416,campaign,0.136,1,4
417,success,0.136,5,24
418,language,0.135,6,27
419,pflanzenwachstum,0.135,1,2
420,ressourcenaufwand,0.135,1,2
421,realisiert,0.135,1,2
422,lebensmittel,0.135,1,2
423,temperatur,0.135,1,2
424,gesteuert,0.135,1,2
425,garantiert,0.135,1,2
426,einzelnen,0.135,1,2
427,hochwertigere,0.135,1,2
428,looker,0.135,1,3
429,datenmengen,0.135,1,2
430,gegründet,0.135,3,4
431,const,0.134,4,32
432,europa,0.134,2,3
433,bit,0.133,2,8
434,module,0.133,2,4
435,framespell_api_key,0.133,4,14
436,datensätzen,0.132,5,9
437,grammatik,0.132,1,3
438,key,0.132,5,46
439,starte,0.132,2,2
440,dein,0.132,2,2
441,entwickler,0.131,4,19
442,habe,0.13,1,6
443,versehen,0.13,1,3
444,hyperparameter,0.13,3,3
445,umfasst,0.13,2,2
446,angebot,0.13,2,2
447,storage,0.13,2,6
448,illegal,0.13,1,1
449,externe,0.13,1,1
450,niedrig,0.13,1,1
451,warten,0.13,2,2
452,direkter,0.129,2,2
453,json,0.129,6,57
454,commerce,0.129,2,6
455,findest,0.128,1,1
456,größere,0.128,1,1
457,günstig,0.128,1,1
458,perfekt,0.128,1,1
459,silicon,0.128,1,1
460,entwickeln,0.127,3,6
461,install,0.127,2,3
462,training,0.127,9,21
463,offline,0.127,3,4
464,wollten,0.125,2,2
465,konzern,0.124,1,1
466,märkten,0.124,1,1
467,breites,0.124,1,1
468,compute,0.124,1,1
469,builder,0.124,1,1
470,segment,0.124,1,1
471,angaben,0.124,1,1
472,error,0.122,4,25
473,automatisches,0.122,3,3
474,modell,0.121,7,40
475,status,0.121,3,8
476,ausführlich,0.121,1,1
477,microsoft,0.121,6,7
478,trainingguide,0.12,1,1
479,unternehmens,0.12,1,3
480,geringem,0.12,1,2
481,director,0.12,1,2
482,greening,0.12,1,2
483,bigquery,0.12,1,2
484,sichtbar,0.12,1,2
485,function,0.119,2,8
486,website,0.118,2,3
487,beschreibung,0.118,3,5
488,profil,0.117,1,4
489,niedrige,0.117,1,3
490,digitalen,0.117,3,3
491,curl,0.117,3,11
492,managed,0.117,2,3
493,axios,0.115,1,5
494,gerät,0.115,3,3
495,studien,0.115,2,3
496,produktbeschreibungen,0.115,1,3
497,debouncetimer,0.115,1,3
498,bereinigung,0.115,1,3
499,retrieval,0.115,1,3
500,user_input,0.115,1,3
501,corrwords,0.115,1,3
502,bildern,0.114,1,3
503,tabelle,0.114,1,3
504,interface,0.114,2,6
505,skalierung,0.114,3,5
506,marketing,0.113,2,4
507,zählt,0.113,2,2
508,genauigkeit,0.113,2,5
509,processing_time,0.113,4,10
510,tokens_used,0.113,4,10
511,verfügung,0.112,2,6
512,insbesondere,0.111,2,3
513,mitarbeiter,0.111,2,3
514,ibm,0.111,1,1
515,xlarge,0.111,1,1
516,lambda,0.111,1,1
517,fremde,0.111,1,1
518,dürfen,0.111,1,1
519,settings,0.111,1,3
520,transformation,0.111,3,3
521,gerade,0.11,1,1
522,meiste,0.11,1,1
523,teurer,0.11,1,1
524,mps,0.11,1,2
525,manche,0.11,1,1
526,studio,0.11,1,1
527,geschäftsergebnisse,0.11,1,2
528,einführung,0.11,1,2
529,inzwischen,0.11,1,2
530,allgemein,0.11,1,2
531,vorhandenen,0.11,1,2
532,angekündigt,0.11,1,2
533,übersetzung,0.11,1,2
534,workbench,0.11,1,2
535,minimal,0.109,1,2
536,lock,0.109,2,2
537,openai,0.109,3,16
538,schritten,0.109,1,1
539,erfassung,0.109,2,3
540,experimentieren,0.109,2,2
541,google,0.108,9,62
542,innen,0.107,4,29
543,technologien,0.107,2,5
544,darauf,0.107,1,4
545,champion,0.107,1,3
546,unternehmen,0.107,9,32
547,unterstützen,0.107,3,10
548,unsere,0.106,3,14
549,gehört,0.106,1,1
550,united,0.106,1,1
551,fakten,0.106,1,1
552,hervor,0.106,1,1
553,1980er,0.106,1,1
554,object,0.106,1,1
555,office,0.106,1,1
556,online,0.106,1,1
557,betont,0.106,1,1
558,amazon,0.106,1,1
559,community,0.105,3,9
560,workflows,0.105,5,8
561,content,0.105,5,18
562,pflanze,0.105,1,2
563,sammeln,0.105,1,2
564,sammelt,0.105,1,2
565,anwendungen,0.105,6,24
566,integriert,0.104,4,5
567,retry_after,0.104,4,8
568,ressourcen,0.104,5,8
569,response,0.103,6,21
570,gespeichert,0.103,2,4
571,bilden,0.103,2,2
572,console,0.103,3,10
573,höchste,0.103,1,3
574,platform,0.103,3,4
575,headers,0.103,4,14
576,ergänzen,0.103,2,4
577,javascript,0.103,6,19
578,13b,0.102,3,9
579,textarea,0.102,1,3
580,products,0.102,1,3
581,eigenen,0.102,5,8
582,weiteren,0.101,2,2
583,trainieren,0.101,6,11
584,result,0.1,4,17
585,vision,0.1,3,6
586,artikel,0.1,2,5
587,model,0.1,3,3
588,sprachmodelle,0.1,2,2
589,sprachmodells,0.1,2,2
590,gewichtsveränderungen,0.1,2,2
591,mathematisch,0.1,2,2
592,niedrigem,0.1,2,2
593,approximieren,0.1,2,2
594,wesentlich,0.1,2,2
595,ursprüngliche,0.1,2,2
596,anpassungsqualität,0.1,2,2
597,anpassung,0.1,2,2
598,modellparameter,0.1,2,2
599,aktualisiert,0.1,2,2
600,resultate,0.1,2,2
601,domänenanpassung,0.1,2,2
602,fachsprache,0.1,2,2
603,faustformel,0.1,2,2
604,praktischen,0.1,2,2
605,klassifikatoren,0.1,2,2
606,domänenspezifischen,0.1,2,2
607,entsprechender,0.1,2,2
608,quantized,0.1,2,2
609,kombiniert,0.1,2,2
610,basismodells,0.1,2,2
611,präzision,0.1,2,2
612,speicherbedarf,0.1,2,2
613,trainierbar,0.1,2,2
614,komplexere,0.1,2,2
615,domänenadaption,0.1,2,2
616,skalierungsfaktor,0.1,2,2
617,aggressivere,0.1,2,2
618,target_modules,0.1,2,2
619,adaptiert,0.1,2,2
620,projektionen,0.1,2,2
621,lora_dropout,0.1,2,2
622,konfigurierbar,0.1,2,2
623,intuitiven,0.1,2,2
624,codezeile,0.1,2,2
625,low,0.1,2,6
626,plattform,0.099,4,6
627,funktionen,0.099,2,3
628,felern,0.098,3,8
629,abgerechnet,0.098,2,2
630,vorhanden,0.098,2,2
631,ursprünglich,0.098,1,1
632,veröffentlicht,0.098,1,1
633,auseinandersetzt,0.098,1,1
634,veranstaltungsorganisation,0.098,1,1
635,wichtigster,0.098,1,1
636,vorkenntnisse,0.098,1,1
637,einfachsten,0.098,1,1
638,investieren,0.098,1,1
639,kompetenzen,0.098,1,1
640,beliebtesten,0.098,1,1
641,zusammengestellt,0.098,1,1
642,vorschläge,0.098,1,1
643,aufwenden,0.098,1,1
644,aufgabenaktualisierungen,0.098,1,1
645,festlegen,0.098,1,1
646,nutzerinnen,0.098,1,1
647,voranzubringen,0.098,1,1
648,lieferungen,0.098,1,1
649,rechtzeitig,0.098,1,1
650,automatisierungs,0.098,1,1
651,genannten,0.098,1,1
652,wertvolle,0.098,1,1
653,anderweitig,0.098,1,1
654,sequential,0.098,1,1
655,workflowfunktionalität,0.098,1,1
656,ausgiebig,0.098,1,1
657,weitergehende,0.098,1,1
658,anpassungen,0.098,1,1
659,vornehmen,0.098,1,1
660,verkaufsmanagement,0.098,1,1
661,vertriebstracking,0.098,1,1
662,vertriebsfachleute,0.098,1,1
663,unterwegs,0.098,1,1
664,vielseitigkeit,0.098,1,1
665,grundlegende,0.098,1,1
666,arbeitsumgebung,0.098,1,1
667,unternehmensgröße,0.098,1,1
668,verfolgen,0.098,1,1
669,felddaten,0.098,1,1
670,onlineshops,0.098,1,1
671,bestandsaufnahme,0.098,1,1
672,umfassende,0.098,1,1
673,anleitung,0.098,1,1
674,konzepten,0.098,1,1
675,kenntnisse,0.098,1,1
676,feedbacks,0.098,1,1
677,betrachten,0.098,1,1
678,sichtweise,0.098,1,1
679,umfragevorlagen,0.098,1,1
680,angestellte,0.098,1,1
681,interessant,0.098,1,1
682,diejenigen,0.098,1,1
683,organisieren,0.098,1,1
684,einzuhalten,0.098,1,1
685,einzuteilen,0.098,1,1
686,möglichkeiten,0.098,1,1
687,inspiration,0.098,1,1
688,entwicklern,0.098,1,1
689,austauschen,0.098,1,1
690,rechtschreibkorrektur,0.098,4,10
691,videos,0.098,1,3
692,kaggle,0.098,1,3
693,gestützten,0.098,1,2
694,intelligence,0.098,1,2
695,vortrainiertes,0.098,1,2
696,vorhersagen,0.098,1,2
697,architekturen,0.098,1,2
698,ausgelöst,0.098,1,2
699,anwendungsfall,0.098,3,4
700,hintergrund,0.097,2,3
701,aufgrund,0.097,1,2
702,research,0.097,1,2
703,sinnvoll,0.097,2,2
704,unbegrenzt,0.097,5,6
705,results,0.097,1,3
706,logging,0.097,1,3
707,zugänglich,0.097,2,2
708,erkennen,0.097,2,5
709,dokumenten,0.096,3,8
710,besonders,0.096,3,6
711,unterstützung,0.096,2,2
712,verstehen,0.096,3,3
713,cloudflare,0.096,3,7
714,instruktions,0.095,3,3
715,quantisierung,0.095,3,3
716,authentifizierung,0.095,2,2
717,übermittelt,0.095,2,2
718,fs_live_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0.095,2,2
719,endpunkte,0.095,2,2
720,eingereicht,0.095,2,2
721,zusatzkosten,0.095,2,2
722,individuell,0.095,2,2
723,verhandelt,0.095,2,2
724,unterstützte,0.095,2,2
725,französisch,0.095,2,2
726,codebeispiele,0.095,2,2
727,await,0.094,4,20
728,forschung,0.094,3,3
729,requests,0.094,6,21
730,zunehmend,0.094,2,2
731,hosting,0.094,2,6
732,a6000,0.093,1,1
733,einfaches,0.093,2,4
734,empfehlen,0.093,2,4
735,bedeutung,0.092,4,4
736,application,0.092,6,15
737,minuten,0.092,3,9
738,ratio,0.092,1,1
739,gutes,0.092,1,1
740,kerne,0.092,1,1
741,leise,0.092,1,1
742,macos,0.092,1,1
743,generieren,0.092,5,10
744,flexibilität,0.092,2,2
745,einmal,0.092,3,7
746,avery,0.091,1,3
747,libeo,0.091,1,3
748,aws,0.091,3,4
749,bereich,0.091,3,3
750,effizient,0.091,5,5
751,environment,0.09,2,4
752,wasser,0.09,1,2
753,dünger,0.09,1,2
754,verwendet,0.09,2,4
755,registrieren,0.089,3,4
756,hochgeladen,0.089,2,2
757,medizinische,0.089,2,2
758,zugreifen,0.089,2,2
759,futures,0.089,1,3
760,subject,0.089,1,3
761,bereitstellen,0.089,2,5
762,solltest,0.089,2,2
763,gleicher,0.089,2,2
764,besserer,0.089,2,2
765,nochmals,0.089,2,2
766,aufgaben,0.089,2,2
767,gewichte,0.089,2,2
768,mitarbeitende,0.088,2,2
769,pfalz,0.088,1,1
770,marke,0.088,1,1
771,baute,0.088,1,1
772,markt,0.088,1,1
773,experience,0.088,1,2
774,universell,0.088,1,2
775,komplexität,0.088,1,2
776,einfachste,0.088,1,2
777,redaktionelle,0.088,1,2
778,regelbasierte,0.088,1,2
779,detaillierte,0.088,1,2
780,textlänge,0.088,1,2
781,günstiger,0.088,1,2
782,energien,0.088,2,3
783,performance,0.088,3,3
784,datenkontrolle,0.087,2,2
785,professional,0.087,3,4
786,kreative,0.087,1,1
787,pandemie,0.087,1,1
788,ausbauen,0.087,1,1
789,maps,0.087,1,2
790,erfolgen,0.087,1,1
791,passende,0.087,1,1
792,aussehen,0.087,1,1
793,flexibel,0.087,1,1
794,elemente,0.087,1,1
795,inventar,0.087,1,1
796,hausrats,0.087,1,1
797,tutorial,0.087,1,1
798,zweitens,0.087,1,1
799,beliebte,0.087,1,1
800,manchmal,0.087,1,2
801,tabellen,0.087,1,2
802,dokument,0.087,1,2
803,robinson,0.087,1,2
804,wörter,0.087,3,10
805,möchten,0.087,4,11
806,alternative,0.087,3,3
807,empfehlung,0.087,2,2
808,kriterium,0.087,2,2
809,workloads,0.086,2,2
810,digital,0.085,1,2
811,officer,0.085,1,2
812,keybank,0.085,1,2
813,consumer,0.085,3,3
814,problemlos,0.085,2,2
815,ökosystem,0.085,2,2
816,anlegen,0.085,1,1
817,einmalige,0.085,2,2
818,herausforderungen,0.085,2,4
819,gültigen,0.085,2,2
820,feld,0.085,2,4
821,spanisch,0.085,2,2
822,versteht,0.084,2,2
823,rechenzentrum,0.084,2,2
824,spezialisiert,0.084,2,2
825,geschichte,0.084,2,2
826,betrieb,0.084,4,4
827,unseren,0.084,3,9
828,kunden,0.084,5,10
829,features,0.084,3,5
830,vollständig,0.083,5,7
831,baustein,0.083,2,2
832,quellcode,0.083,1,2
833,installation,0.083,1,2
834,empfiehlt,0.083,1,2
835,concurrency,0.083,1,2
836,batchspellcheck,0.083,1,2
837,spellcheckrequest,0.083,1,2
838,spellcheckdata,0.083,1,2
839,spellcheckresponse,0.083,1,2
840,spellcheckerror,0.083,1,2
841,apiresponse,0.083,1,2
842,nextrequest,0.083,1,2
843,nextresponse,0.083,1,2
844,header,0.083,3,5
845,train,0.083,2,2
846,async,0.083,2,9
847,führenden,0.082,2,2
848,initiativen,0.082,2,2
849,deutsch,0.082,3,7
850,sicherheit,0.082,3,5
851,preis,0.082,3,6
852,optimieren,0.082,3,5
853,retry,0.082,4,12
854,budget,0.082,2,4
855,ermöglicht,0.082,5,5
856,regelmäßig,0.082,2,2
857,personen,0.081,2,2
858,ausprobieren,0.081,2,3
859,erhalten,0.081,3,8
860,integration,0.081,8,17
861,arbeiten,0.08,2,4
862,überzeugt,0.08,1,2
863,gemeinsam,0.08,1,2
864,innovationen,0.08,1,2
865,autopilot,0.08,1,2
866,entwicklungsumgebung,0.08,1,2
867,bereitstellung,0.08,1,2
868,lieferkette,0.08,1,2
869,mitglieder,0.08,1,2
870,supply,0.08,1,3
871,verbesserung,0.08,1,2
872,möglichen,0.08,1,2
873,nachhaltigen,0.08,1,2
874,erneuerbaren,0.08,1,2
875,nachhaltiger,0.08,1,2
876,gestalten,0.08,1,2
877,enterprise,0.08,6,16
878,api,0.08,9,103
879,erreichen,0.08,3,6
880,einsetzen,0.08,3,3
881,hunderte,0.079,2,2
882,zugriff,0.079,5,6
883,prozesse,0.079,4,5
884,schnelle,0.079,3,3
885,schnell,0.078,3,6
886,nlp,0.078,2,2
887,optionen,0.078,1,2
888,stil,0.078,1,4
889,deutsche,0.078,1,2
890,overhead,0.078,1,2
891,gpus,0.078,4,8
892,import,0.078,5,10
893,methode,0.078,2,2
894,prinzip,0.078,2,2
895,machbar,0.078,2,2
896,tiefere,0.078,2,2
897,massive,0.078,2,2
898,geladen,0.078,2,2
899,mistral,0.078,2,2
900,höherer,0.078,2,2
901,höheres,0.078,2,2
902,updates,0.078,2,2
903,dropout,0.078,2,2
904,resp,0.077,4,21
905,gpu,0.077,7,17
906,anfragen,0.077,6,16
907,benötigt,0.077,5,7
908,cloudflares,0.076,2,3
909,dauerhaft,0.076,2,3
910,tippfehlern,0.076,1,2
911,sprachlern,0.076,1,2
912,ausreichend,0.076,1,2
913,veröffentlichen,0.076,1,2
914,typischer,0.076,1,2
915,redakteur,0.076,1,2
916,wordpress,0.076,1,2
917,articlebody,0.076,1,2
918,queryselector,0.076,1,2
919,hervorheben,0.076,1,2
920,spell_url,0.076,1,2
